isotope pass1 pass2 pass3 pass4 pass5 pass6
I-131 1.93E-05 1.92E-05 1.91E-05 1.90E-05 1.89E-05 1.87E-05
I-135 1.38E-06 1.36E-06 1.35E-06 1.34E-06 1.32E-06 1.30E-06
Xe-126 1.54E-13 8.11E-13 2.17E-12 4.23E-12 7.49E-12 1.22E-11
Xe-128 4.09E-08 1.95E-07 4.98E-07 9.72E-07 1.66E-06 2.60E-06
Xe-129 2.20E-11 2.00E-10 7.91E-10 2.16E-09 4.91E-09 9.94E-09
Xe-130 3.15E-07 1.36E-06 3.31E-06 6.35E-06 1.08E-05 1.72E-05
Xe-131 2.77E-04 0.000561816464494 0.000831734618987 1.08E-03 0.001310410328993 0.001515497807497
Xe-132 0.000447621953523 0.000926560210077 0.001428089891264 0.001944407556134 0.00248554134626 0.003051760967444
Xe-133 2.86E-05 2.81E-05 2.78E-05 2.75E-05 2.72E-05 2.68E-05
Xe-134 0.000815937855507 0.0016223532801 0.002427151726645 0.003218934678892 0.004011412673961 0.004799898030137
Xe-135 9.70E-07 9.28E-07 8.72E-07 8.07E-07 7.31E-07 6.46E-07
Xe-136 1.05E-03 0.002121049989831 0.003212577068739 4.31E-03 0.005445515260549 0.006604100634881
Cs-133 0.000655199129007 0.00132592675558 0.001980654820314 0.002606703304929 0.003212342499858 0.003789872378446
Cs-134 6.67E-06 2.74E-05 6.12E-05 1.07E-04 0.000164337897242 0.000233710721915
Cs-135 0.000323423145228 0.000637966256362 0.000937934499244 0.001214968250684 0.001471037458507 0.001702276831834
Cs-136 1.74E-07 3.33E-07 4.97E-07 6.73E-07 8.71E-07 1.10E-06
Cs-137 6.55E-04 0.001302030776855 0.001945444310715 2.57E-03 0.003198918251902 0.003815285604353
Ba-132 6.20E-13 2.83E-12 6.97E-12 1.26E-11 2.10E-11 3.20E-11
Ba-134 3.58E-07 3.01E-06 1.02E-05 2.39E-05 4.62E-05 7.90E-05
Ba-135 1.47E-10 2.20E-09 1.16E-08 3.78E-08 9.60E-08 2.10E-07
Ba-136 1.03E-06 3.71E-06 8.04E-06 1.40E-05 2.20E-05 3.21E-05
Ba-137 3.86E-06 1.52E-05 3.39E-05 5.97E-05 9.27E-05 0.000132657221147
Ba-138 7.23E-04 0.001437750479462 0.002151460347638 2.85E-03 0.003553542135423 0.004249320581822
Ba-140 6.91E-05 6.74E-05 6.62E-05 6.52E-05 6.40E-05 6.27E-05
La-138 4.38E-10 1.46E-09 2.85E-09 4.45E-09 6.25E-09 8.21E-09
La-139 0.000688009500707 0.001367662882806 0.002043682723731 0.002705004091042 0.003361919181359 0.004009432099335
La-140 9.12E-06 8.93E-06 8.79E-06 8.70E-06 8.59E-06 8.48E-06
Ce-140 0.000616602595934 0.001304604050059 0.001990657805995 0.002665498251938 0.003341582719007 0.004015708092848
Ce-141 1.62E-04 0.000162303524296 0.000159873173337 1.58E-04 0.000155267434852 0.000152572130997
Ce-142 0.000649929394356 0.001291255763617 0.001928821167236 0.002552837493461 0.003173652289284 0.003787371076683
Ce-143 7.05E-06 6.83E-06 6.66E-06 6.52E-06 6.36E-06 6.19E-06
Ce-144 4.95E-04 0.000801472763149 0.000991295881043 1.10E-03 0.001171620339956 0.001207100943647
Pr-141 4.83E-04 0.00111766439001 0.001750258779197 2.37E-03 0.002978636893155 0.003579535639328
Pr-142 8.99E-09 2.23E-08 3.80E-08 5.66E-08 8.01E-08 1.11E-07
Pr-143 6.99E-05 6.78E-05 6.63E-05 6.49E-05 6.35E-05 6.19E-05
Nd-142 5.77E-07 3.07E-06 7.97E-06 1.56E-05 2.69E-05 4.27E-05
Nd-143 0.000584267736867 0.001233961790274 0.001876596488355 0.002503318779391 0.003125221313424 0.003738527474994
Nd-144 0.000119248203537 0.000411543674388 0.000813108150286 0.001275036406136 0.001778239913271 0.002303134993396
Nd-145 4.42E-04 0.000869478099863 0.001284019616579 1.68E-03 0.002060431065947 0.002422960991283
Nd-146 0.00034587134201 0.000695019269494 0.00105157751021 0.001411424313375 0.001782223531567 0.002164335484685
Nd-147 2.21E-05 2.17E-05 2.14E-05 2.11E-05 2.08E-05 2.05E-05
Nd-148 0.000199073409405 0.000397240639938 0.000595834207659 0.000791776500233 0.00098834661328 0.001184361836715
Nd-150 7.88E-05 0.000159513841544 0.000242265038309 3.26E-04 0.00041051641292 0.000496733971794
Pm-147 2.10E-04 0.000389075271256 0.000524562934678 6.22E-04 0.000690868552767 0.000732983287607
Pm-148 5.21E-07 1.05E-06 1.50E-06 1.91E-06 2.27E-06 2.63E-06
Pm-149 2.24E-06 2.39E-06 2.53E-06 2.68E-06 2.81E-06 2.95E-06
Pm-151 5.00E-07 5.13E-07 5.24E-07 5.35E-07 5.44E-07 5.51E-07
Sm-147 1.32E-05 5.29E-05 0.000113303818815 1.88E-04 0.000274121142371 0.000367322075989
Sm-148 6.69E-06 2.96E-05 6.64E-05 0.000114718808981 0.000173428368673 0.000241481129536
Sm-149 1.00E-05 1.00E-05 9.66E-06 9.06E-06 8.25E-06 7.31E-06
Sm-150 1.12E-04 0.000243121579283 0.000380407179934 0.0005201320224 0.000662808600331 0.000805742972403
Sm-151 3.09E-05 4.15E-05 4.50E-05 4.58E-05 4.54E-05 4.41E-05
Sm-152 5.15E-05 0.000121834029429 0.00019476995293 2.64E-04 0.00032770899397 0.000386864064486
Sm-153 4.51E-07 6.81E-07 9.30E-07 1.20E-06 1.49E-06 1.80E-06
Sm-154 1.00E-05 2.17E-05 3.48E-05 4.89E-05 6.42E-05 8.07E-05
Eu-151 2.90E-08 4.65E-08 4.89E-08 4.54E-08 3.97E-08 3.32E-08
Eu-152 2.75E-08 8.36E-08 1.17E-07 1.23E-07 1.13E-07 9.55E-08
Eu-153 2.20E-05 5.53E-05 1.00E-04 1.54E-04 0.000217685640341 0.000287632420964
Eu-154 8.85E-07 3.64E-06 8.31E-06 1.47E-05 2.24E-05 3.10E-05
Eu-155 1.29E-06 1.90E-06 2.77E-06 3.91E-06 5.32E-06 6.90E-06
Eu-156 8.88E-07 1.32E-06 1.94E-06 2.86E-06 4.19E-06 6.06E-06
Eu-157 7.89E-09 1.08E-08 1.38E-08 1.71E-08 2.06E-08 2.45E-08
Gd-152 6.07E-11 4.58E-10 1.19E-09 2.04E-09 2.87E-09 3.60E-09
Gd-154 1.16E-08 9.45E-08 3.22E-07 7.54E-07 1.45E-06 2.42E-06
Gd-155 2.45E-08 3.79E-08 5.20E-08 6.86E-08 8.61E-08 1.01E-07
Gd-156 4.74E-06 1.40E-05 2.78E-05 4.81E-05 7.81E-05 0.000122249077122
